Title,Synopsis,Original Language,Runtime,Director,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link,All Genres
Black Christmas 2019,"Hawthorne College is quieting down for the holidays as students travel home to spend time with their families. But as Riley and her sorority sisters prepare to deck the halls with seasonal parties, a mysterious cloaked figure starts to leave a bloody trail throughout the campus. Refusing to become hapless victims, Riley and her friends decide to band together and fight back against the psychotic Christmas killer.",Eng,92,Sophia Takal,"['Imogen Poots', 'Riley', 'Aleyse Shannon', 'Kris', 'Lily Donoghue', 'Marty', ""Brittany O'Grady"", 'Jesse', 'Caleb Eberhardt', 'Landon', 'Cary Elwes', 'Professor Gelson']",0.4,0.31,116,Holiday,https://www.rottentomatoes.com/m/black_christmas_2019,"Holiday, Horror, Mystery & thriller"
Christmas With The Kranks,"Finally alone for the holidays, Luther (Tim Allen) and Nora Krank (Jamie Lee Curtis) plan to eschew the Christmas traditions and take a cruise in the Caribbean instead. This doesn't sit well with their Christmas-obsessed neighbors Vic Frohmeyer (Dan Aykroyd) and Walt Scheel (M. Emmet Walsh), who are determined to win the annual ""best decorated street"" competition, and the Kranks soon find themselves social outcasts because of their lack of Christmas spirit.",Eng,98,Joe Roth,"['Tim Allen', 'Luther Krank', 'Jamie Lee Curtis', 'Nora Krank', 'Dan Aykroyd', 'Vic Frohmeyer', 'M. Emmet Walsh', 'Walt Scheel', 'Elizabeth Franz', 'Bev Scheel', 'Erik Per Sullivan', 'Spike Frohmeyer']",0.05,0.39,132,Holiday,https://www.rottentomatoes.com/m/christmas_with_the_kranks,"Holiday, Comedy"
1090089-Jack Frost,"As a touring musician clinging to dreams of stardom, aging rocker Jack Frost (Michael Keaton) never had much time for his wife, Gabby (Kelly Preston), and young son, Charlie (Joseph Cross). A year after Jack's tragic death in a car accident on Christmas Day, Charlie plays a mournful tune on his father's harmonica. Much to his surprise, the elder Frost is magically brought to life as a snowman on the family lawn. Given a second chance, Charlie and Jack struggle to make up for lost time.",Eng,95,Troy Miller,"['Michael Keaton', 'Jack Frost', 'Kelly Preston', 'Gabby Frost', 'Mark Addy', 'Mac MacArthur', 'Joseph Cross', 'Charlie Frost', 'Scott Kraft', ""Natalie's Dad"", 'Eli Marienthal', 'Spencer']",0.19,0.4,58,Kids & family,https://www.rottentomatoes.com/m/1090089-jack_frost,"Kids & family, Holiday, Fantasy, Comedy, Drama"
Fatman,"To save his declining business, Chris Cringle, also known as Santa Claus, is forced into a partnership with the U.S. military. Making matters worse, Chris gets locked into a deadly battle of wits against a highly skilled assassin, hired by a precocious 12-year-old, after receiving a lump of coal in his stocking.",Eng,100,"Ian Nelms, Eshom Nelms","['Mel Gibson', 'Chris', 'Walton Goggins', 'Skinny Man', 'Marianne Jean-Baptiste', 'Ruth', 'Chance Hurstfield', 'Billy Wenan', 'Eric Woolfe', 'Elf 7', 'Robert Bockstael', 'Captain Jacobs']",0.44,0.84,119,Holiday,https://www.rottentomatoes.com/m/fatman,"Holiday, Fantasy, Comedy, Mystery & thriller"
Love The Coopers,"For their annual Christmas Eve celebration, Sam Cooper (John Goodman) and his wife Charlotte (Diane Keaton) welcome four generations of extended family, including son Hank (Ed Helms), daughter Eleanor (Olivia Wilde) and Charlotte's father, Bucky (Alan Arkin). Sam and Charlotte are separating after 40 years of marriage, while Hank is in the middle of a divorce. As the guests reveal their respective problems, they also rediscover the importance of kinship and the spirit of the holiday.",Eng,107,Jessie Nelson,"['Alan Arkin', 'Bucky', 'John Goodman', 'Sam', 'Ed Helms', 'Hank', 'Diane Keaton', 'Charlotte', 'Anthony Mackie', 'Officer Williams', 'Amanda Seyfried', 'Ruby']",0.18,0.37,120,Holiday,https://www.rottentomatoes.com/m/love_the_coopers,"Holiday, Comedy, Drama"
Halloween Iii Season Of The Witch,"Hospital emergency room Dr. Daniel ""Dan"" Challis (Tom Atkins) and Ellie Grimbridge (Stacey Nelkin), the daughter of a murder victim, uncover a terrible plot by small-town mask maker Conal Cochran (Dan O'Herlihy), a madman who's planning a Halloween mass murder utilizing an ancient Celtic ritual. The ritual involves a boulder stolen from Stonehenge, the use of Silver Shamrock masks and a triggering device contained in a television commercial -- all designed to kill millions of children.",Eng,98,Tommy Lee Wallace,"['Tom Atkins', 'Daniel Challis', 'Stacey Nelkin', 'Ellie Grimbridge', ""Dan O'Herlihy"", 'Conal Cochran', 'Ralph Strait', 'Buddy Kupfer', 'Michael Currie', 'Rafferty', 'Jadeen Barbor', 'Betty Kupfer']",0.5,0.28,36,Holiday,https://www.rottentomatoes.com/m/halloween_iii_season_of_the_witch,"Holiday, Horror, Mystery & thriller, Sci-fi"
Halloween The Curse Of Michael Myers,"This installment marks the return of the seemingly indestructible masked murderer Michael Myers (George P. Wilbur), who is targeting Tommy Doyle (Paul Stephen Rudd), a young man tied into the legacy of the killer and his connections with the Strode family. As the supernatural elements of Michael's macabre abilities are explored, his longtime adversary, Dr. Sam Loomis (Donald Pleasence), is also back in yet another attempt to stop the psychopath's brutal rampages.",Eng,88,Joe Chappelle,"['Donald Pleasence', ""Dr. Samuel J. 'Sam' Loomis"", 'Mitch Ryan', 'Dr. Terence Wynn', 'Marianne Hagan', 'Kara Strode', 'Paul Rudd', ""Thomas 'Tommy' Doyle"", 'Leo Geter', 'Barry Simms', 'George P. Wilbur', 'Michael Myers']",0.08,0.36,36,Holiday,https://www.rottentomatoes.com/m/halloween_the_curse_of_michael_myers,"Holiday, Horror"
The Nutcracker 2010,"Christmas in Vienna is a dull affair for 9-year-old Mary (Elle Fanning), until her beloved Uncle Albert (Nathan Lane) arrives and gives her a special gift: an enchanted nutcracker. On Christmas night the nutcracker -- named NC -- comes to life and takes Mary to its magical land of sugarplum fairies and talking toys. Mary discovers that the wondrous kingdom faces a dire threat from the evil Rat King, and when the nutcracker is kidnapped, she must rally her new friends to save NC.",Eng,108,Andrey Konchalovskiy,"['Elle Fanning', 'Mary', 'Nathan Lane', 'Uncle Albert', 'John Turturro', 'Rat King', 'Frances de la Tour', 'Rat Queen', 'Charlie Rowe', 'NC', 'Daniel Peacock', 'Gielgud']",0.0,0.27,32,Holiday,https://www.rottentomatoes.com/m/the_nutcracker_2010,"Holiday, Musical, Fantasy"
Noelle 2019,"Kris Kringle's daughter is full of Christmas spirit but wishes she could do something important like her brother Nick, who will take over for their father this Christmas. When Nick is about to crumble like a gingerbread cookie from all the pressure, Noelle suggests he take a break and get away...but when he doesn't return, Noelle must find her brother and bring him back in time to save Christmas.",Eng,100,Marc Lawrence,"['Anna Kendrick', 'Noelle', 'Bill Hader', 'Nick Kringle', 'Shirley MacLaine', 'Elf Polly', 'Julie Hagerty', 'Mrs. Claus', 'Ron Funches', 'Elf Mortimer', 'Kingsley Ben-Adir', 'Jake Hapman']",0.55,0.58,42,Holiday,https://www.rottentomatoes.com/m/noelle_2019,"Holiday, Comedy"
Halloween H20 1998,"Two decades after surviving a massacre on October 31, 1978, former baby sitter Laurie Strode (Jamie Lee Curtis) finds herself hunted by persistent knife-wielder Michael Myers. Laurie now lives in Northern California under an assumed name, where she works as the headmistress of a private school. But it's not far enough to escape Myers, who soon discovers her whereabouts. As Halloween descends upon Laurie's peaceful community, a feeling of dread weighs upon her -- with good reason.",Eng,85,Steve Miner,"['Jamie Lee Curtis', 'Laurie Strode, Keri Tate', 'Adam Arkin', 'Will Brennan', 'Josh Hartnett', 'John Tate', 'Michelle Williams', 'Molly Cartwell', 'Adam Hann-Byrd', 'Charles ""Charlie"" Deveraux', ""Jodi Lyn O'Keefe"", 'Sarah Wainthrope']",0.54,0.49,68,Holiday,https://www.rottentomatoes.com/m/halloween_h20_1998,"Holiday, Horror"
Best Christmas Ever,"Every Christmas Jackie sends a boastful holiday newsletter that makes her old college friend Charlotte feel like a lump of coal. When a twist of fate lands Charlotte and her family on Jackie's snowy doorstep just days before Christmas, she seizes the opportunity to prove her old friend's life can't possibly be that perfect.",Eng,80,Mary Lambert,"['Heather Graham', 'Charlotte Sanders', 'Jason Biggs', 'Rob Sanders', 'Brandy Norwood', 'Jackie Jennings', 'Matt Cedeno', 'Valentino', 'Wyatt Hunt', 'Grant Sanders', 'Abby Villasmil', 'Dora Sanders']",0.38,0.18,21,Holiday,https://www.rottentomatoes.com/m/best_christmas_ever,"Holiday, Romance, Comedy"
A Bad Moms Christmas,"Under-appreciated and overburdened moms Amy, Kiki and Carla rebel against the challenges and expectations of the Super Bowl for moms: Christmas. As if creating the perfect holiday for their families isn't hard enough, they'll have to do it while hosting and entertaining their own respective mothers when they come to visit.",Eng,104,"Jon Lucas, Scott Moore","['Mila Kunis', 'Amy', 'Kristen Bell', 'Kiki', 'Kathryn Hahn', 'Carla', 'Cheryl Hines', 'Sandy', 'Christine Baranski', 'Ruth', 'Susan Sarandon', 'Isis']",0.32,0.43,129,Holiday,https://www.rottentomatoes.com/m/a_bad_moms_christmas,"Holiday, Comedy"
Hell Fest,"On Halloween night, three young women and their respective boyfriends head to Hell Fest -- a ghoulish traveling carnival that features a labyrinth of rides, games and mazes. They soon face a bloody night of terror when a masked serial killer turns the horror theme park into his own personal playground.",Eng,89,Gregory Plotkin,"['Amy Forsyth', 'Natalie', 'Reign Edwards', 'Brooke', 'Bex Taylor-Klaus', 'Taylor', 'Christian James', 'Quinn', 'Roby Attal', 'Gavin', 'Matt Mercurio', 'Asher']",0.39,0.41,67,Holiday,https://www.rottentomatoes.com/m/hell_fest,"Holiday, Horror, Mystery & thriller"
Halloween Resurrection,"He's back for more... When a group of teens win a contest to spend a night in Michael Myers' childhood home to be broadcast live on the Internet, they believe they are in for a little fun and some free publicity. But things go frightfully wrong and the game turns into a struggle to make it out of the house alive.",Eng,89,Rick Rosenthal,"['Jamie Lee Curtis', 'Laurie Strode', 'Brad Loree', 'Michael Myers', 'Busta Rhymes', 'Freddie Harris', 'Bianca Kajlich', 'Sara Moyer', 'Sean Patrick Thomas', 'Rudy', 'Daisy McCrackin', 'Donna']",0.1,0.25,70,Holiday,https://www.rottentomatoes.com/m/halloween_resurrection,"Holiday, Horror, Mystery & thriller"
The Curse Of Bridge Hollow,A father (Marlon Wayans) and his teenage daughter (Priah Ferguson) are forced to team up and save their town after an ancient and mischievous spirit causes Halloween decorations to come to life and wreak havoc.,Eng,89,Jeff Wadlow,"['Marlon Wayans', 'Priah Ferguson', 'Sydney', 'Kelly Rowland', 'Emily', 'Lauren Lapkus', 'Mayor Tammy', 'Dave Sheridan', 'Farmer Brown', 'Abi Monterey', 'Ramona']",0.46,0.53,26,Kids & family,https://www.rottentomatoes.com/m/the_curse_of_bridge_hollow,"Kids & family, Holiday, Comedy"
Black Christmas,"The holiday season turns deadly for a group of sorority sisters (Katie Cassidy, Mary Elizabeth Winstead, Lacey Chabert, Michelle Trachtenberg) who are stranded at their campus house during a snowstorm. These coeds better watch out, for a vicious killer is on the loose, and he will not care if they are naughty or nice.",Eng,90,Glen Morgan,"['Katie Cassidy', 'Kelli', 'Mary Elizabeth Winstead', 'Heather Lee', 'Lacey Chabert', 'Dana Mathis', 'Michelle Trachtenberg', 'Melissa', 'Oliver Hudson', 'Kyle', 'Andrea Martin', 'Ms. Barbara MacHenry']",0.14,0.38,65,Holiday,https://www.rottentomatoes.com/m/black_christmas,"Holiday, Horror"
Tyler Perrys Boo A Madea Halloween,"Trying to win the approval of her friends, 17-year-old Tiffany sneaks out of the house to go to a Halloween bash at a fraternity. The fun soon ends when police and the cranky, fast-talking Madea (Tyler Perry) arrive to crash the party. Unhappy with this sudden turn of events, the vengeful collegians decide to scare Madea and her cronies with a series of pranks. She soon finds herself under attack and on the run from an assortment of ghosts, ghouls and zombies on the scariest night of the year.",Eng,103,Tyler Perry,"['Tyler Perry', 'Madea, Joe, Brian', 'Cassi Davis', 'Aunt Bam', 'Patrice Lovely', 'Hattie', 'Liza Koshy', 'Aday', 'Diamond White', 'Tiffany', 'Lexy Panterra', 'Leah']",0.19,0.53,43,Holiday,https://www.rottentomatoes.com/m/tyler_perrys_boo_a_madea_halloween,"Holiday, Comedy, Adventure"
Halloween 4 The Return Of Michael Myers,"The apparently comatose Michael Myers (George P. Wilbur) is being transferred from one hospital to another, but he wakes up when the ambulance crew talk about his surviving niece, Jamie (Danielle Harris). After slaughtering his attendants, Myers sets out to find his one living relative who is, fortunately, being cared for by a kind and resourceful foster sister named Rachel (Ellie Cornell). Meanwhile, the ever-cautious Dr. Loomis (Donald Pleasence) remains on the killer's path.",Eng,88,Dwight H. Little,"['Donald Pleasence', ""Dr. Samuel 'Sam' J. Loomis"", 'Ellie Cornell', 'Rachel Carruthers', 'Danielle Harris', 'Jamie Lloyd', 'George P. Wilbur', 'Michael Audrey Myers', 'Michael Pataki', 'Dr. E. W. Hoffman', 'Beau Starr', 'Sheriff Ben Meeker']",0.39,0.53,31,Holiday,https://www.rottentomatoes.com/m/halloween_4_the_return_of_michael_myers,"Holiday, Horror"
Christmas With The Campbells,"The traditional holiday romance movie, from the writer of ""You Light Up My Christmas"" and the director of ""The Christmas Bow"", gets a little more fun this year with a spin from co-writers Vince Vaughn (""Couples Retreat"") and Dan Lagana (""American Vandal""). In ""Christmas with The Campbells"", when Jesse gets dumped right before the holidays by her boyfriend Shawn, his parents convince her to still spend Christmas with them, and Shawn's handsome cousin, while Shawn is away.",Eng,88,Clare Niederpruem,"['Brittany Snow', 'Jesse', 'Justin Long', 'Alex Moffat', 'Shawn', 'Julia Duffy', 'George Wendt', 'JoAnna Garcia Swisher']",0.37,0.55,19,Holiday,https://www.rottentomatoes.com/m/christmas_with_the_campbells,"Holiday, Romance, Comedy"
Four Christmases,"When their plans for an exotic vacation fall apart, unmarried couple Brad (Vince Vaughn) and Kate (Reese Witherspoon) must spend Christmas Day trudging around to a quartet of family get-togethers. While Brad counts the hours till he can escape the onslaught of crazy relatives, Kate begins to wonder about her own choices and ponders whether her family members are so crazy after all.",Eng,88,Seth Gordon,"['Vince Vaughn', 'Brad', 'Reese Witherspoon', 'Kate', 'Robert Duvall', 'Howard', 'Jon Favreau', 'Denver', 'Mary Steenburgen', 'Marilyn', 'Dwight Yoakam', 'Pastor Phil']",0.25,0.47,145,Holiday,https://www.rottentomatoes.com/m/four_christmases,"Holiday, Romance, Comedy"
Deck The Halls,"Steve (Matthew Broderick), suburban dad and Christmas enthusiast, finds a wrinkle in his well-ordered existence with the arrival of his new neighbor Danny (Danny DeVito). Danny has big dreams and plans to illuminate his house with enough holiday lights to make it visible from space. Not to be outdone, Steve declares a war of one-upmanship with Danny that threatens to drag the Christmas spirit through the slush.",Eng,95,John Whitesell,"['Danny DeVito', 'Buddy Hall', 'Matthew Broderick', 'Steve Finch', 'Kristin Chenoweth', 'Tia Hall', 'Kristin Davis', 'Kelly Finch', 'Alia Shawkat', 'Madison Finch', 'Ryan Devlin', 'Bob']",0.06,0.3,86,Holiday,https://www.rottentomatoes.com/m/deck_the_halls,"Holiday, Comedy"
Tyler Perrys Boo 2 A Madea Halloween,"Tiffany travels to Derrick Lake to celebrate her 18th birthday at a Halloween frat party in the middle of the woods. Frantic and worried, Madea, Aunt Bam and Hattie hop in the car to save her from the same terrible fate that befell a group of teens there years earlier. Chaos soon strikes when the would-be heroes find themselves fighting for their lives against an array of spooky monsters, goblins and boogeymen.",Eng,101,Tyler Perry,"['Tyler Perry', 'Madea, Joe, Brian', 'Diamond White', 'Tiffany', 'Patrice Lovely', 'Hattie', 'Cassi Davis', 'Aunt Bam', 'Taja V. Simpson', 'Debrah', 'Yousef Erakat', 'Jonathan']",0.04,0.41,23,Holiday,https://www.rottentomatoes.com/m/tyler_perrys_boo_2_a_madea_halloween,"Holiday, Comedy, Adventure"
Natty Knocks,"On Halloween Eve, a small-town babysitter and the kids she is looking after must survive the horrors of serial killer Abner Honeywell.",Eng,106,Dwight H. Little,"['Bill Moseley', 'Danielle Harris', 'Robert Englund', 'Charlotte Fountain-Jardim', 'Thomas Robie', 'Noen Perez']",0.4,0.52,5,Holiday,https://www.rottentomatoes.com/m/natty_knocks,"Holiday, Horror, Mystery & thriller"
A Christmas Carol 2020,"On Christmas Eve, a Victorian family settles in to watch the story of ""A Christmas Carol"" inside a children's paper theater. Illustrated characters come to life and the cardboard scenery blends with real sets.",Eng,94,Jacqui Morris,"['Carey Mulligan', 'Belle Voice', 'Martin Freeman', 'Bob Cratchit Voice', 'Andy Serkis', ""Marley's Ghost Voice"", 'Daniel Kaluuya', 'The Ghost of Christmas Present Voice', 'Leslie Caron', 'The Ghost of Christmas Past Voice', 'Sîan Phillips', 'The Narrator Voice']",0.58,0.54,12,Holiday,https://www.rottentomatoes.com/m/a_christmas_carol_2020,"Holiday, Drama, Animation"
Bad Santa 2,"Fueled by cheap whiskey, greed and hatred, Willie Soke (Billy Bob Thornton) teams up with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve. Along for the ride is chubby and cheery Thurman Merman, a 250-pound ray of sunshine who brings out Willie's sliver of humanity. Mommy issues arise when the pair are joined by Willie's horror story of a mother, Sunny Soke, who raises the bar for the gang's ambitions, while somehow lowering the standards of criminal behavior.",Eng,92,Mark Waters,"['Billy Bob Thornton', 'Willie Soke', 'Kathy Bates', 'Sunny Soke', 'Tony Cox', 'Marcus Skidmore', 'Christina Hendricks', 'Diane Hastings', 'Brett Kelly', 'Thurman Merman', 'Ryan Hansen', 'Regent Hastings']",0.23,0.34,135,Holiday,https://www.rottentomatoes.com/m/bad_santa_2,"Holiday, Comedy"
Dashing Through The Snow,"Eddie Garrick (Chris ""Ludacris"" Bridges) is a good-hearted man who has turned his back on Christmas due to a traumatic childhood experience. At the request of his wife Allison Garrick (Teyonah Parris), from whom he is separated, Eddie takes his 9-year-old daughter Charlotte (Madison Skye Validum) to work with him on Christmas Eve, where they meet a mysterious man in a red suit named Nick (Lil Rel Howery). Eddie, who is a social worker, thinks the man is delusional and needs professional help, but when he evokes the wrath of a local politician (Oscar Nuñez), he and his daughter are taken on a magical adventure that just might restore his faith in Christmas.",Eng,90,Tim Story,"['Lil Rel Howery', 'Nick', 'Ludacris', 'Eddie Garrick', 'Teyonah Parris', 'Allison Garrick', 'Madison Skye Validum', 'Charlotte', 'Oscar Nunez', 'Mary Lynn Rajskub']",0.35,0.64,17,Kids & family,https://www.rottentomatoes.com/m/dashing_through_the_snow,"Kids & family, Holiday, Comedy, Adventure, Fantasy"
Spirit Halloween The Movie,"When a Spirit Halloween Store opens in a deserted strip mall, three middle school friends who think they've outgrown trick or treating make a dare to spend the night locked inside the store Halloween night. But they soon find out that the store is haunted by an angry evil spirit who has possessed the creepy animatronic characters. The kids will need to embark on a thrilling and spooky adventure in order to survive the night and avoid becoming possessed themselves.",Eng,87,David Poag,"['Christopher Lloyd', 'Alex Windsor', 'Rachael Leigh Cook', 'Sue', 'Donovan Colan', 'Jake', 'Marissa Reyes', 'Kate', 'Jaiden Smith', 'Bo', 'Dylan Martin Frankel', 'Carson']",0.54,0.52,26,Kids & family,https://www.rottentomatoes.com/m/spirit_halloween_the_movie,"Kids & family, Holiday, Fantasy, Adventure"
Friendsgiving,"Molly and Abbey, along with their crew of close friends, host a dysfunctional Thanksgiving dinner.",Eng,95,Nicol Paone,"['Malin Akerman', 'Molly', 'Jane Seymour', 'Helen', 'Kat Dennings', 'Abby', 'Christine Taylor', 'Brianne', 'Chelsea Peretti', 'Claire', 'Ryan Hansen', 'Gunnar']",0.19,0.22,26,Holiday,https://www.rottentomatoes.com/m/friendsgiving,"Holiday, Comedy"
Stephen Kings Graveyard Shift,"John Hall (David Andrews) is a drifter who wanders into a small town in Maine. He needs a job and decides to seek employment at the community's top business: a large textile mill. He is hired to work the ""graveyard shift"" -- from around midnight to dawn -- and, along with a few others, he is charged with cleaning out the basement. This task strikes the workers as simple enough, but then, as they proceed deeper underground, they encounter an unspeakable monstrosity intent on devouring them all.",Eng,87,Ralph S. Singleton,"['David Andrews', 'John Hall', 'Kelly Wolf', 'Jane Wisconsky', 'Stephen Macht', 'Warwick', 'Brad Dourif', 'The Exterminator', 'Andrew Divoff', 'Danson', 'Vic Polizos', 'Brogan']",0.0,0.23,7,Holiday,https://www.rottentomatoes.com/m/stephen_kings_graveyard_shift,"Holiday, Horror"
Santa Clause 3,"Christmas cheer turns into holiday chaos when Scott Calvin (Tim Allen), aka Santa, invites his in-laws (Ann-Margret, Alan Arkin) for a visit and must, simultaneously, contend with Jack Frost's (Martin Short) scheme to take over the North Pole. Scott, his family and Head Elf Curtis must join forces to foil the nefarious plot.",Eng,92,Michael Lembeck,"['Tim Allen', 'Santa Claus, Scott Calvin', 'Martin Short', 'Jack Frost', 'Elizabeth Mitchell', 'Mrs. Claus, Carol', 'Spencer Breslin', 'Curtis', 'Wendy Crewson', 'Laura Miller', 'Liliana Mumy', 'Lucy Miller']",0.17,0.39,66,Kids & family,https://www.rottentomatoes.com/m/santa_clause_3,"Kids & family, Holiday, Comedy"
Noel,"It's nearly Christmas in New York City. Rose (Susan Sarandon) is in the hospital with her elderly mother, who's been diagnosed with Alzheimer's. Nina (Penélope Cruz) is ready to call off her upcoming marriage because of fiancé Mike's (Paul Walker) jealous rages, and Mike is being followed by Artie (Alan Arkin), a waiter who believes Mike is the reincarnation of his late wife. Meanwhile, a young man named Jules (Marcus Thomas) wants to re-create his happiest Christmas memory.",Eng,96,Chazz Palminteri,"['Penélope Cruz', 'Nina', 'Susan Sarandon', 'Rose', 'Paul Walker', 'Mike', 'Alan Arkin', 'Artie', 'Marcus Thomas', 'Jules', 'John Doman', 'Dr. Matthew Baron']",0.28,0.48,36,Holiday,https://www.rottentomatoes.com/m/noel,"Holiday, Drama"
Your Christmas Or Mine 2,"It’s the most wonderful time of the year … but will it be for James and Hayley? James’ father has invited the Taylors to spend Christmas in a luxury ski resort in the Austrian Alps, so they can meet his new American girlfriend. However, Hayley’s dad Geoff insisted on handling his family’s side of the booking and something clearly got lost in translation. After a mix-up with transport at the airport, the two tribes end up at each other’s accommodations, on different sides of a valley and opposite ends of the Tripadvisor ratings scale. Can Hayley and James' relationship survive another turbulent family Christmas, or has their future together gone off-piste?",Eng,101,Jim O'Hanlon,"['Asa Butterfield', 'James', 'Cora Kirk', 'Hayley', 'Angela Griffin', 'Kath', 'Natalie Gumede', 'Kaye', 'Daniel Mays', 'Geoff', ""Jim O'Hanlon"", 'Director']",0.5,0.43,8,Holiday,https://www.rottentomatoes.com/m/your_christmas_or_mine_2,"Holiday, Comedy"
The Santa Clause 2,"Scott Calvin (Tim Allen) has been in the role of Santa for the past eight years, and his loyal elves consider him the best one ever. But the world of the ""Merry Old Soul"" turns upside down when he's dealt a double whammy of news: Not only has his son, Charlie (Eric Lloyd), landed on this year's naughty list, but Scott discovers that he must marry by Christmas Eve -- just a month away! -- or he will stop being Santa Claus forever.",Eng,104,Michael Lembeck,"['Tim Allen', 'Scott Calvin, Santa Claus, Toy Santa Claus', 'Elizabeth Mitchell', 'Carol Newman', 'David Krumholtz', 'Head Elf Bernard', 'Eric Lloyd', 'Charlie', 'Judge Reinhold', 'Neil', 'Wendy Crewson', 'Laura Miller']",0.56,0.43,122,Kids & family,https://www.rottentomatoes.com/m/the_santa_clause_2,"Kids & family, Holiday, Comedy"
Halloween 5 The Revenge Of Michael Myers,"After lying in a coma for a year, Michael Myers (Donald L. Shanks) awakens and stalks his way back to his small hometown in Illinois, intent on killing his niece, Jamie (Danielle Harris), who has been confined to a mental institution since Michael's last attempt to slay her. Suspecting a psychic link between Michael and Jamie, psychiatrist Dr. Sam Loomis (Donald Pleasence) joins forces with Sheriff Ben Meeker (Beau Starr) and attempts to stop Michael's latest rampage.",Eng,96,Dominique Othenin-Girard,"['Donald Pleasence', 'Dr. Sam Loomis', 'Danielle Harris', 'Jamie Lloyd', 'Wendy Foxworth', 'Tina Williams', 'Ellie Cornell', 'Rachel Carruthers', 'Don Shanks', 'Michael Myers, Man in Black', 'Jeffrey Landman', 'Billy Hill']",0.12,0.36,26,Holiday,https://www.rottentomatoes.com/m/halloween_5_the_revenge_of_michael_myers,"Holiday, Horror"
1175076-Fred Claus,"Of the two Claus brothers, Fred (Vince Vaughn) is the troublemaker and polar opposite of his saintly sibling, Nicholas (Paul Giamatti). When Fred's criminal ways finally land him in big trouble, Nicholas bails him out and brings him to the North Pole to work off the debt by making toys. The headaches mount for St. Nick, who not only must deal with his troublemaking brother, but also an efficiency expert who has come to evaluate Santa's operation.",Eng,116,David Dobkin,"['Vince Vaughn', 'Fred Claus', 'Paul Giamatti', 'Nicholas', 'Miranda Richardson', 'Annette Claus', 'John Michael Higgins', 'Willie', 'Rachel Weisz', 'Wanda', 'Kevin Spacey', 'Clyde']",0.21,0.45,143,Holiday,https://www.rottentomatoes.com/m/1175076-fred_claus,"Holiday, Comedy"
Scrooge A Christmas Carol,"Charles Dickens' ageless legend is reborn in this supernatural, time-travelling, musical adaptation of the definitive Christmas story. With his very soul on the line, Scrooge has but one Christmas Eve left to face his past and build a better future. Featuring re-imagined songs from the legendary and two-time Academy Award® winner Leslie Bricusse OBE, Scrooge: A Christmas Carol is one for a new generation to sing.",Eng,96,Stephen Donnelly,"['Jessie Buckley', 'Isabel Fezziwig Voice', 'Luke Evans', 'Ebenezer Scrooge Voice', 'Olivia Colman', 'Ghost of Christmas Past Voice', 'Jonathan Pryce', 'Jacob Marley Voice', 'Johnny Flynn', 'Bob Cratchit Voice', 'James Cosmo', 'Mr Fezziwig Voice']",0.38,0.67,16,Kids & family,https://www.rottentomatoes.com/m/scrooge_a_christmas_carol,"Kids & family, Holiday, Adventure, Comedy, Musical, Animation"
Kids Vs Aliens,"All Gary wants is to make awesome home movies with his best buds. All his older sister Samantha wants is to hang with the cool kids. When their parents head out of town one Halloween weekend, an all-time rager of a teen house party turns to terror when aliens attack, forcing the siblings to band together to survive the night.",Eng,75,Jason Eisener,"['Dominic Mariche', 'Gary', 'Phoebe Rex', 'Samantha', 'Calem MacDonald', 'Billy', 'Asher Grayson', 'Jack', 'Ben Tector', 'Miles', 'Emma Vickers', 'Trish']",0.58,0.43,40,Holiday,https://www.rottentomatoes.com/m/kids_vs_aliens,"Holiday, Horror, Sci-fi"
Surviving Christmas,"A wealthy executive, Drew Latham (Ben Affleck) has no close relationships and becomes nostalgic for his childhood home as Christmas approaches. When he visits the house and finds another family living there, he offers the residents, Tom Valco (James Gandolfini) and his wife, Christine (Catherine O'Hara), a large sum of money to pretend they are his parents. Soon Drew tests the couple's patience, and, when their daughter, Alicia (Christina Applegate), arrives, things get increasingly tense.",Eng,90,Mike Mitchell,"['Ben Affleck', 'Drew Latham', 'James Gandolfini', 'Tom Valco', 'Christina Applegate', 'Alicia Valco', ""Catherine O'Hara"", 'Christine Valco', 'Josh Zuckerman', 'Brian Valco', 'Bill Macy', 'Doo-Dah']",0.08,0.3,116,Holiday,https://www.rottentomatoes.com/m/surviving_christmas,"Holiday, Comedy"
Tyler Perrys A Madea Christmas 2013,"Madea (Tyler Perry) accompanies her niece, Eileen (Anna Maria Horsford), to the small town of Buck Tussel to pay a surprise visit to Eileen's daughter, Lacey (Tika Sumpter), who has refused to come home for Christmas. The real reason Lacey is avoiding her judgmental mother is that she has secretly married Connor (Chad Michael Murray), a white classmate from college. When Eileen and Madea arrive at Lacey's farm, she tells them that Connor is an employee, but her lie soon spins out of control.",Eng,100,Tyler Perry,"['Tyler Perry', 'Madea', 'Kathy Najimy', 'Kim', 'Chad Michael Murray', 'Tanner', 'Anna Maria Horsford', 'Eileen', 'Tika Sumpter', 'Lacey', 'Eric Lively', 'Connor']",0.2,0.7,35,Holiday,https://www.rottentomatoes.com/m/tyler_perrys_a_madea_christmas_2013,"Holiday, Comedy"
